start_id	end_id	send_IP		amount	
1	2	255.255.255.0	30
1	3	255.255.255.0	10
1	2	255.255.255.1	30
1	3	255.255.255.1	10
1	2	255.255.1.0	30	
1	4	255.255.1.0	30
1	8	255.255.255.1	30
1	7	255.255.1.0	20
2	3	255.255.255.1	60
2	1	255.255.255.0	10
2	3	255.255.255.1	30
2	1	255.255.255.0	40
2	8	255.255.255.0	10
3	1	255.255.255.0	20
3	1	255.255.255.1	20
3	2	255.255.255.1	30
3	2	255.255.255.0	50
3	8	255.255.255.1	50
3	5	255.255.255.2	10
4	5	168.255.255.2	10
4	6	255.255.255.0	20
5	2	168.255.1.4	30
5	6	168.255.255.2	30
5	8	168.255.255.2	30
6	7	168.255.255.1	40
8	1	255.255.255.0	20
8	2	255.255.255.0	10
8	3	255.255.255.1	30
